Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"42,819798238444;36,8705531789673";???? ????;??????;;1438763605310.jpg;Dahuk;Sumel;d. 6-7;5;7;11;8;10;36;3. Minor;4. None;1. Major;1. Major;4. none;4. none;36,8705531789673,42,819798238444;a. 0-49;tent;informal settlement;2.High;42,81979824;36,87055318;IQ0803-0347
"42,9744935308896;36,7836191639008";;?????;;1439121893014.jpg;Dahuk;Sumel;c. 4-5;12;24;14;17;10;65;4. None;4. None;1. Major;1. Major;4. none;4. none;36,7836191639008,42,9744935308896;b. 50-99;tent;Collective Center;2.High;42,97449353;36,78361916;IQ0803-0429
"42,8210436842089;36,87149820764";???? ????;??????;;1438762654407.jpg;Dahuk;Sumel;c. 4-5;5;4;5;7;8;24;3. Minor;3. Minor;1. Major;1. Major;4. none;4. none;36,87149820764,42,8210436842089;a. 0-49;tent;informal settlement;2.High;42,82104368;36,87149821;IQ0803-0348
"43,8058880807742;35,8677682093614";??? ?????;?????;;1440507515431.jpg;Erbil;Makhmur;d. 6-7;195;256;320;335;410;1321;3. Minor;3. Minor;1. Major;1. Major;4. none;4. none;35,8677682093614,43,8058880807742;f. >=1000;tent;informal settlement;2.High;43,80588808;35,86776821;IQ1107-0009
"44,3237430568;32,1019978203";???? ???? ??? ?? ??? ????;???? ?????;reach_initiative;1425552996085.jpg;Najaf;Kufa;d. 6-7;5;6;6;9;9;30;4. None;4. None;1. Major;1. Major;1. Major;4. none;32,1019978203,44,3237430568;a. 0-49;tent unfinished;informal settlement;3.Moderate;44,32374306;32,10199782;
"44,4294628563;31,9440679321";???? ????? ???????;???????;reach_initiative;1426405356973.jpg;Najaf;Kufa;c. 4-5;5;9;6;8;2;25;2. Moderate;4. None;1. Major;1. Major;4. none;4. none;31,9440679321,44,4294628563;a. 0-49;skeleton;informal settlement;3.Moderate;44,42946286;31,94406793;
"44,2803886232;32,2836073077";???? ???? ??????;????? ????????;reach_initiative;1426055312359.jpg;Najaf;Najaf;c. 4-5;19;23;23;22;23;91;1. Major;4. None;1. Major;1. Major;1. Major;4. none;32,2836073077,44,2803886232;b. 50-99;tent;informal settlement;2.High;44,28038862;32,28360731;
"44,490420185;33,7182354787";?????????;????????;iom;1427809371101.jpg;Diyala;Ba'quba;d. 6-7;5;5;6;10;12;33;3. Minor;4. None;1. Major;1. Major;4. none;4. none;33,7182354787,44,490420185;a. 0-49;improved;informal settlement;3.Moderate;44,49042019;33,71823548;
"43,901195;34,196327";??? ?????-??????-? ? ??????-?? ?????? ?(25/???????)- ???? 332  - ???? ???;??? ?????-??????-? ? ??????-?? ?????? ?(25/???????)- ???? 332 - ???? ???;iom;;Salah al-Din;Al-Daur;c. 4-5;7;8;9;8;10;35;3. Minor;4. None;1. Major;1. Major;1. Major;1. Major;34,196327,43,901195;a. 0-49;open;informal settlement;1.Extreme;43,901195;34,196327;
"43,898475;34,213199";??? ?????-??????-? ? ??????-?? ??????? - ????;??? ?????-??????-? ? ??????-?? ??????? - ????;iom;1426606395124.jpg;Salah al-Din;Al-Daur;c. 4-5;23;20;24;34;39;117;3. Minor;4. None;1. Major;1. Major;1. Major;1. Major;34,213199,43,898475;c. 100-249;skeleton;informal settlement;1.Extreme;43,898475;34,213199;
"44,2810459346;32,8186927315";??? ????;??? ???? ?????? ??????;reach_initiative;1428056570991.jpg;Babil;Al-Mahawil;c. 4-5;5;4;8;4;4;20;4. None;4. None;1. Major;1. Major;4. none;4. none;32,8186927315,44,2810459346;a. 0-49;tent;informal settlement;3.Moderate;44,28104593;32,81869273;
"44,1534765624;32,4784695217";???? ?????;?????? ??????;iom;1428992403577.jpg;Kerbala;Al-Hindiya;c. 4-5;5;5;5;7;4;21;4. None;4. None;1. Major;1. Major;4. none;4. none;32,4784695217,44,1534765624;a. 0-49;unfinished;informal settlement;2.High;44,15347656;32,47846952;
