sitear	neighbourhood	organisat	governorateor	districtor	photo	environment	governorate	district	phone	householdnum	household	men	women	boys	girls	individual	water_access	water_quality	electric	openelement	damage	hazards	mines	fighting	geo	Improvised_Shelter	Tent	Individual_mud_building	Individual_mix_building	Individual_concrete_building	Shop	Apartment_block	Under_construction	opensite	abandonned	unfinished	class	accom	cluster	scoreclass	longitude	latitude
»Ì—ÊÌ«‰	«ﬂƒÌ«‰Ì ﬂƒ‰	iom	Erbil	Soran	1413200582513.jpg	city_suburb	Erbil	Soran	7503168436	d. 6-7	14	17	15	26	20	78	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.5819715578303,44.5428834707495"	0	0	0	1	0	0	0	0	No	Yes	No	b. 50-99	 Concrete 	Cluster 1	5.None	44.54288347	36.58197156
Holli Snowbar	Hamamok	iom	Erbil	Koisnjaq	1413290325020.jpg	isolated	Erbil	Koisnjaq	7501127555	5-Apr	7	7	5	8	10	30	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	4.None	"36.0922936820047,44.6210561623697"	0	0	0	0	0	0	1	0	No	Yes	No	a. 0-49	 Appart	Cluster 2	3.Medium	44.62105616	36.09229368
ÕÌ «·‘Âœ«¡	”„Ì· ÃœÌœ…	iom	Dahuk	Sumel	1413274573973.jpg	city_centre	Dahuk	Sumel	7503245813	d. 6-7	18	19	22	45	33	119	2.Moderate	2.Moderate	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"36.8510856877501,42.8544088369488"	0	0	0	0	0	1	0	0	No	Yes	No	c. 100-249	 Shop 	Cluster 2	4.Low	42.85440884	36.85108569
ÕÌ ›—«‘Ì‰	ÕÌ ‘Âœ«¡	iom	Dahuk	Sumel	1413275871036.jpg	city_centre	Dahuk	Sumel	7507286799	d. 6-7	33	31	40	35	61	167	3.Minor	3.Minor	3.Minor	4.None	3.Minor	4.None	4.None	4.None	"36.8551087822754,42.8505028716059"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	3.Medium	42.85050287	36.85510878
«“«œÌ	ÕÌ ‘Âœ«¡	iom	Dahuk	Sumel	1413277291435.jpg	city_centre	Dahuk	Sumel	7507288052	5-Apr	6	6	8	8	6	28	1.Major	1.Major	2.Moderate	1.Major	3.Minor	3.Minor	4.None	4.None	"36.8569083700316,42.8364154546129"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	1.Extreme	42.83641545	36.85690837
ﬂ·«›Ì‘	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413278392400.jpg	city_centre	Dahuk	Sumel	7503325381	e. 8-10	14	23	20	31	30	104	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.8612409268239,42.8356965527477"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	5.None	42.83569655	36.86124093
ﬂ·«›Ì‘	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413278934079.jpg	city_centre	Dahuk	Sumel	7503485249	e. 8-10	12	16	17	30	28	91	3.Minor	3.Minor	4.None	4.None	4.None	4.None	4.None	4.None	"36.8614877937174,42.8354018584337"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	4.Low	42.83540186	36.86148779
ÕÌ ﬂ·«›Ì“	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413279668390.jpg	city_centre	Dahuk	Sumel	5703482938	d. 6-7	12	16	16	19	12	63	2.Moderate	2.Moderate	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.8602289827828,42.8341182640631"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	4.Low	42.83411826	36.86022898
ÕÌ ﬂ·«›Ì“	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413280222403.jpg	city_centre	Dahuk	Sumel	7507287771	d. 6-7	8	16	8	15	13	52	2.Moderate	2.Moderate	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.8603261365631,42.8338311068785"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	4.Low	42.83383111	36.86032614
ÕÌ “Ì—Ì‰	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413280892884.jpg	city_centre	Dahuk	Sumel	7508831784	e. 8-10	5	8	10	10	10	38	3.Minor	3.Minor	1.Major	3.Minor	4.None	4.None	4.None	4.None	"36.8592008911103,42.8339198685307"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	3.Medium	42.83391987	36.85920089
ÕÌ ‘Âœ«¡	⁄Ã„ › ÕÌ	iom	Dahuk	Sumel	1413281565469.jpg	city_centre	Dahuk	Sumel	5703058432	d. 6-7	9	15	17	15	10	57	3.Minor	3.Minor	1.Major	2.Moderate	4.None	4.None	4.None	4.None	"36.8514902365569,42.8476415071334"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	3.Medium	42.84764151	36.85149024
ﬂ‰Ì”… „—Ì„ Ê „«— „—ﬁ” «·ﬁ»«ÿ «·« — ÀÊ –ﬂ”	ÃÊ«— Ã—«	iom	Sulaymaniyah	Sulaymaniya	1413269926031.jpg	city_centre	Sulaymaniyah	Sulaymaniya	7705993939	3-Jan	43	40	31	32	20	123	4.None	4.None	4.None	4.None	3.Minor	3.Minor	4.None	4.None	"35.5414860280771,45.4036321980807"	0	0	0	1	0	0	0	0	No	Yes	No	c. 100-249	 Tent Concrete 	Cluster 1	4.Low	45.4036322	35.54148603
ÊÂ ·« 	„ﬁ«»· «ﬂ«œ„Ì… “«ŒÊ	unhcr	Dahuk	Zakho	1413982722080.jpg	city_centre	Dahuk	Zakho	7502151673	d. 6-7	85	120	150	113	119	502	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1590371874558,42.667933967271"	0	0	0	1	0	0	1	1	No	Yes	Yes	e. 500-2000	Unfinished Concrete Appart	Cluster 1	5.None	42.66793397	37.15903719
ﬂ·Ì”…Ï „«—ÌÊ”›	ﬂ—œÌ «‰œ«“Ì«—«‰	iom	Sulaymaniyah	Sulaymaniya	1413279318186.jpg	city_centre	Sulaymaniyah	Sulaymaniya	7701532148	5-Apr	50	58	67	23	33	181	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"35.5643715214561,45.4087714410381"	0	0	0	0	0	0	1	0	No	Yes	No	c. 100-249	 Appart	Cluster 1	5.None	45.40877144	35.56437152
—«»…—Ì‰   «“…	ﬂ—…ﬂÏ —«»…—Ì‰	iom	Sulaymaniyah	Sulaymaniya	1413282577604.jpg	city_suburb	Sulaymaniyah	Sulaymaniya	7507620142	d. 6-7	6	10	7	7	11	35	1.Major	2.Moderate	2.Moderate	3.Minor	2.Moderate	3.Minor	4.None	4.None	"35.5901038867004,45.3221391376423"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	2.High	45.32213914	35.59010389
 „«·Ï ·ÌÊ« —“ﬂ«—	—«»Â —Ì‰	iom	Sulaymaniyah	Sulaymaniya	1413284474718.jpg	isolated	Sulaymaniyah	Sulaymaniya	7501199809	d. 6-7	6	6	10	8	7	31	3.Minor	3.Minor	1.Major	4.None	3.Minor	3.Minor	4.None	4.None	"35.5983229339978,45.3172695266396"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	2.High	45.31726953	35.59832293
»«ŒÏ Ì⁄ﬁÊ» ‘Ì‘ ›—Ê‘	ÿ«”·ÊÃ…	iom	Sulaymaniyah	Sulaymaniya	1413289628226.jpg	city_suburb	Sulaymaniyah	Sulaymaniya	7701214710	d. 6-7	8	15	15	9	13	52	4.None	2.Moderate	4.None	4.None	3.Minor	2.Moderate	4.None	4.None	"35.5971324044644,45.2393783930064"	0	0	1	1	0	0	0	0	No	Yes	No	b. 50-99	 Mix Concrete 	Cluster 2	4.Low	45.23937839	35.5971324
»«ŒÏ ›…ﬁÏ Ê‘Ì«—	Œ«ﬂ	iom	Sulaymaniyah	Sulaymaniya	1413197538528.jpg	city_suburb	Sulaymaniyah	Sulaymaniya	7507867876	d. 6-7	5	7	7	10	5	29	4.None	3.Minor	3.Minor	1.Major	4.None	2.Moderate	4.None	4.None	"35.5901324027683,45.3180728521466"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 2	3.Medium	45.31807285	35.5901324
ﬂ‰Ì”… «·«‰ÃÌ·Ì‰	—“ﬂ«—Ï	iom	Sulaymaniyah	Sulaymaniya	1413268022573.jpg	city_centre	Sulaymaniyah	Sulaymaniya	7709938132	5-Apr	39	44	47	28	33	152	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"35.5615624538008,45.3963244354246"	0	0	0	0	0	0	1	0	No	Yes	No	c. 100-249	 Appart	Cluster 1	5.None	45.39632444	35.56156245
„—Ì„ «·⁄“—«¡	”«»Ê‰ ﬂ…—«‰	iom	Sulaymaniyah	Sulaymaniya	1413274621538.jpg	city_centre	Sulaymaniyah	Sulaymaniya	7718838517	5-Apr	48	62	60	46	37	205	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"35.5535803098726,45.44620588539"	0	0	0	1	0	0	0	0	No	Yes	No	c. 100-249	 Concrete 	Cluster 1	5.None	45.44620589	35.55358031
ƒ„Ìœ «»Ê»ﬂ— „Õ„œ	—«»…—Ì‰	iom	Sulaymaniyah	Sulaymaniya	1413283437183.jpg	city_suburb	Sulaymaniyah	Sulaymaniya	7502129516	d. 6-7	5	8	7	6	6	27	3.Minor	2.Moderate	1.Major	1.Major	3.Minor	2.Moderate	4.None	4.None	"35.5922419242954,45.3193123140002"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 2	2.High	45.31931231	35.59224192
«“«œÌ	‰Ê—Ê“	harikar	Dahuk	Sumel	1413099433060.jpg	city_suburb	Dahuk	Sumel	7507856771	d. 6-7	14	17	17	36	22	92	4.None	4.None	3.Minor	4.None	2.Moderate	3.Minor	4.None	4.None	"36.8591089926784,42.8377242746371"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	4.Low	42.83772427	36.85910899
”„Ì· ’‰«⁄…	 —”Ì„ «·ﬁœÌ„	harikar	Dahuk	Sumel	1413101657595.jpg	city_suburb	Dahuk	Sumel	7508234391	d. 6-7	16	15	16	27	26	84	2.Moderate	2.Moderate	1.Major	4.None	4.None	4.None	4.None	4.None	"36.8628988005146,42.8431688027019"	0	0	0	1	0	0	0	0	No	Yes	No	b. 50-99	 Concrete 	Cluster 2	4.Low	42.8431688	36.8628988
ﬂ‰Ì”… „«— ≈Ì·Ì«	⁄‰ﬂ«Ê… »ﬁ—» „ÿ⁄„ ·›…	iom	Erbil	Erbil	1413211364096.jpg	city_centre	Erbil	Erbil	7504408425	5-Apr	120	52	69	128	118	367	2.Moderate	1.Major	3.Minor	3.Minor	3.Minor	4.None	4.None	4.None	"36.2345850641099,43.9936288191443"	0	0	0	0	0	0	0	0	Yes	No	No	d. 250-499	 Tent Open 	Cluster 2	2.High	43.99362882	36.23458506
„Õ·… ﬂ”ﬂ	ﬁ—Ì… „”Ì—ÌﬂÏ	harikar	Dahuk	Sumel	1413099490102.jpg	city_centre	Dahuk	Sumel	7508828834	d. 6-7	12	25	23	20	15	83	2.Moderate	1.Major	1.Major	1.Major	4.None	4.None	4.None	4.None	"36.8602355626888,42.8337065496757"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	3.Medium	42.83370655	36.86023556
